epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,30807.9,1.40849,1.02532,1.69801,0.93084,0.89577,0.95048,0.69499,1.07887,0.63793,1.50019,9.91e-05,9.91e-05,9.91e-05
184,30968.2,1.40426,1.01445,1.68631,0.93072,0.89645,0.9504,0.69517,1.07815,0.63714,1.4994,9.415e-05,9.415e-05,9.415e-05
185,31124.6,1.39039,0.99701,1.67411,0.92894,0.89805,0.95051,0.69483,1.07801,0.63734,1.49905,8.92e-05,8.92e-05,8.92e-05
186,31290.1,1.4089,1.02622,1.69643,0.93076,0.89725,0.95053,0.6947,1.078,0.63736,1.49883,8.425e-05,8.425e-05,8.425e-05
187,31460,1.40387,1.00497,1.68483,0.92972,0.89823,0.9508,0.69481,1.07757,0.63686,1.49921,7.93e-05,7.93e-05,7.93e-05
188,31625.2,1.40311,1.00842,1.68027,0.92951,0.89866,0.95089,0.69537,1.07734,0.63626,1.49876,7.435e-05,7.435e-05,7.435e-05
189,31787.5,1.39673,1.00355,1.67126,0.92928,0.89907,0.95082,0.69504,1.07694,0.63636,1.49862,6.94e-05,6.94e-05,6.94e-05
190,31950.9,1.39977,1.00968,1.68293,0.92805,0.89933,0.95083,0.69511,1.07716,0.63611,1.4985,6.445e-05,6.445e-05,6.445e-05
191,32160.1,1.13446,0.74517,1.52246,0.92905,0.89899,0.95039,0.69532,1.07668,0.63556,1.49773,5.95e-05,5.95e-05,5.95e-05
192,32321.1,1.12573,0.73536,1.52142,0.92868,0.89929,0.95073,0.69623,1.07569,0.63501,1.49736,5.455e-05,5.455e-05,5.455e-05
193,32487.1,1.12283,0.72585,1.51831,0.92977,0.89933,0.95107,0.69629,1.07482,0.6344,1.49663,4.96e-05,4.96e-05,4.96e-05
194,32644.9,1.11443,0.71822,1.51202,0.93039,0.899,0.95102,0.69623,1.0741,0.63364,1.49579,4.465e-05,4.465e-05,4.465e-05
195,32800.9,1.10616,0.71721,1.50897,0.93159,0.8985,0.95124,0.69664,1.07306,0.63348,1.49512,3.97e-05,3.97e-05,3.97e-05
196,32963.9,1.10147,0.71224,1.49979,0.92941,0.899,0.95079,0.69686,1.07181,0.63317,1.49421,3.475e-05,3.475e-05,3.475e-05
197,33123.9,1.11271,0.71871,1.50846,0.92961,0.8992,0.95109,0.69667,1.0716,0.63302,1.49394,2.98e-05,2.98e-05,2.98e-05
198,33283.8,1.10946,0.71567,1.51242,0.93073,0.89794,0.95094,0.6965,1.07093,0.63282,1.49332,2.485e-05,2.485e-05,2.485e-05
199,33447.3,1.10434,0.71783,1.5121,0.9322,0.8973,0.951,0.69671,1.07065,0.63282,1.49292,1.99e-05,1.99e-05,1.99e-05
200,33609.9,1.10537,0.71372,1.50507,0.93172,0.89767,0.95088,0.69649,1.07082,0.63287,1.49287,1.495e-05,1.495e-05,1.495e-05
