epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6963.65,1.74164,1.37516,1.9637,0.85882,0.80003,0.87727,0.54994,1.41825,0.94903,1.81304,0.00079705,0.00079705,0.00079705
43,7127.64,1.73426,1.3696,1.94996,0.86993,0.81571,0.8863,0.5468,1.43036,0.93043,1.81107,0.0007921,0.0007921,0.0007921
44,7296.66,1.73355,1.36837,1.9497,0.85642,0.81465,0.88583,0.55096,1.43416,0.9339,1.80776,0.00078715,0.00078715,0.00078715
45,7462.12,1.74425,1.36344,1.95995,0.87272,0.82198,0.89045,0.54923,1.42975,0.92923,1.82673,0.0007822,0.0007822,0.0007822
46,7629.45,1.73382,1.34863,1.93883,0.86425,0.81394,0.8915,0.55561,1.42429,0.92537,1.80572,0.00077725,0.00077725,0.00077725
47,7796.44,1.72488,1.34996,1.94193,0.86193,0.83285,0.89266,0.56271,1.40202,0.90907,1.80042,0.0007723,0.0007723,0.0007723
48,7954.72,1.70402,1.33515,1.91812,0.86917,0.82533,0.88691,0.55313,1.41027,0.91685,1.79869,0.00076735,0.00076735,0.00076735
49,8114.89,1.71046,1.34128,1.93312,0.88816,0.82427,0.89919,0.56244,1.39529,0.90155,1.78467,0.0007624,0.0007624,0.0007624
50,8280.02,1.74484,1.3674,1.94765,0.88494,0.826,0.89909,0.56254,1.40602,0.89302,1.80217,0.00075745,0.00075745,0.00075745
51,8450.79,1.71027,1.32187,1.92954,0.87531,0.82912,0.89827,0.57139,1.38793,0.88555,1.77577,0.0007525,0.0007525,0.0007525
52,8620.21,1.69916,1.31401,1.90532,0.87437,0.83184,0.90322,0.56888,1.39151,0.88352,1.78579,0.00074755,0.00074755,0.00074755
53,8787.87,1.69728,1.32087,1.90033,0.87189,0.84887,0.90043,0.57681,1.37562,0.88989,1.77672,0.0007426,0.0007426,0.0007426
54,8949.06,1.70848,1.32469,1.92569,0.88834,0.8381,0.9061,0.57044,1.3795,0.87977,1.77426,0.00073765,0.00073765,0.00073765
55,9101.74,1.70607,1.31809,1.90807,0.88507,0.83989,0.90471,0.57753,1.37363,0.87782,1.7697,0.0007327,0.0007327,0.0007327
56,9260.25,1.68546,1.29741,1.89891,0.86942,0.85156,0.90899,0.58501,1.34892,0.85567,1.74755,0.00072775,0.00072775,0.00072775
57,9430.76,1.67189,1.2931,1.89402,0.90049,0.83716,0.91348,0.59377,1.33284,0.849,1.73447,0.0007228,0.0007228,0.0007228
58,9596.13,1.68071,1.30915,1.90019,0.88243,0.84185,0.91049,0.59162,1.34851,0.84081,1.73875,0.00071785,0.00071785,0.00071785
59,9761.7,1.69017,1.30155,1.90293,0.87688,0.85048,0.91426,0.59358,1.34825,0.84361,1.74472,0.0007129,0.0007129,0.0007129
60,9935.93,1.66081,1.27698,1.87544,0.8828,0.85354,0.91931,0.60045,1.3237,0.82431,1.71873,0.00070795,0.00070795,0.00070795
61,10103.9,1.68575,1.30505,1.89386,0.87553,0.85401,0.91327,0.59519,1.32863,0.84387,1.71209,0.000703,0.000703,0.000703
62,10271.8,1.6766,1.29216,1.90622,0.88731,0.85265,0.91566,0.59604,1.32976,0.84276,1.71879,0.00069805,0.00069805,0.00069805
63,10441.1,1.6585,1.27127,1.88587,0.88381,0.84267,0.91466,0.59876,1.32088,0.83399,1.71095,0.0006931,0.0006931,0.0006931
64,10610.5,1.66386,1.27663,1.88944,0.88156,0.85527,0.91649,0.60309,1.3099,0.83663,1.71055,0.00068815,0.00068815,0.00068815
65,10780.9,1.65861,1.26557,1.88473,0.89096,0.84659,0.91729,0.59562,1.31573,0.8264,1.71524,0.0006832,0.0006832,0.0006832
66,10951.3,1.66201,1.27116,1.88129,0.8951,0.8531,0.92094,0.59934,1.31521,0.81925,1.71143,0.00067825,0.00067825,0.00067825
67,11123.7,1.649,1.2712,1.88514,0.89184,0.85458,0.91945,0.60557,1.31481,0.82115,1.70962,0.0006733,0.0006733,0.0006733
68,11289.9,1.64033,1.25936,1.87261,0.89427,0.85287,0.91889,0.60155,1.31441,0.82201,1.70022,0.00066835,0.00066835,0.00066835
69,11454.5,1.64187,1.26786,1.88577,0.89848,0.84474,0.91983,0.60881,1.29427,0.82076,1.69423,0.0006634,0.0006634,0.0006634
70,11617.8,1.63169,1.23804,1.86113,0.8984,0.86315,0.92327,0.60917,1.2968,0.80834,1.69175,0.00065845,0.00065845,0.00065845
71,11784.4,1.64909,1.25246,1.86589,0.90394,0.85467,0.9199,0.6111,1.29443,0.80845,1.69389,0.0006535,0.0006535,0.0006535
72,11949.4,1.645,1.24998,1.86322,0.89833,0.85989,0.92161,0.61415,1.2762,0.79636,1.68037,0.00064855,0.00064855,0.00064855
73,12118.4,1.63872,1.24358,1.85675,0.90303,0.85664,0.92415,0.61686,1.27606,0.79724,1.67799,0.0006436,0.0006436,0.0006436
74,12284.5,1.62156,1.226,1.85465,0.89778,0.86946,0.92532,0.62062,1.27151,0.78894,1.67704,0.00063865,0.00063865,0.00063865
75,12452.9,1.62339,1.23629,1.85828,0.90866,0.85304,0.922,0.61713,1.26883,0.79548,1.67175,0.0006337,0.0006337,0.0006337
76,12617.1,1.62698,1.23808,1.86018,0.90059,0.86378,0.92118,0.6174,1.27259,0.79293,1.67531,0.00062875,0.00062875,0.00062875
77,12780.1,1.62695,1.2257,1.85394,0.90982,0.8532,0.92341,0.61524,1.27762,0.79297,1.68294,0.0006238,0.0006238,0.0006238
78,12952.2,1.62162,1.2251,1.8371,0.90173,0.86285,0.92432,0.61719,1.26304,0.78143,1.66222,0.00061885,0.00061885,0.00061885
79,13119.8,1.62574,1.22631,1.84521,0.90639,0.87122,0.92671,0.6266,1.24978,0.77526,1.65564,0.0006139,0.0006139,0.0006139
80,13289.8,1.61355,1.21721,1.83339,0.90518,0.87064,0.92951,0.62722,1.25103,0.76718,1.6576,0.00060895,0.00060895,0.00060895
81,13454.3,1.61295,1.21693,1.83782,0.91396,0.86132,0.92926,0.63118,1.24182,0.75761,1.64696,0.000604,0.000604,0.000604
82,13617.1,1.60104,1.2055,1.83761,0.91174,0.86564,0.93218,0.62823,1.24892,0.75255,1.65641,0.00059905,0.00059905,0.00059905
83,13784.3,1.61721,1.20746,1.82871,0.9114,0.86769,0.93226,0.63316,1.2385,0.74595,1.63955,0.0005941,0.0005941,0.0005941
84,13954.2,1.59527,1.19109,1.82466,0.91595,0.8724,0.9315,0.63587,1.23615,0.75348,1.64044,0.00058915,0.00058915,0.00058915
85,14120.4,1.57173,1.1919,1.83394,0.90875,0.87776,0.93281,0.63606,1.23026,0.7513,1.63589,0.0005842,0.0005842,0.0005842
86,14776.6,1.5912,1.18811,1.80964,0.91366,0.86958,0.93066,0.63732,1.22984,0.75105,1.6414,0.00057925,0.00057925,0.00057925
87,14933.3,1.58342,1.19951,1.82948,0.91165,0.86692,0.93159,0.63967,1.21937,0.75134,1.63149,0.0005743,0.0005743,0.0005743
88,15096.9,1.59718,1.19809,1.82604,0.90093,0.87295,0.93152,0.64269,1.21286,0.75211,1.62679,0.00056935,0.00056935,0.00056935
89,15263.8,1.57172,1.18686,1.81661,0.89831,0.87536,0.933,0.64024,1.21465,0.74027,1.62398,0.0005644,0.0005644,0.0005644
90,15430.5,1.57703,1.18518,1.81993,0.9205,0.85557,0.93048,0.64155,1.21002,0.74303,1.62347,0.00055945,0.00055945,0.00055945
91,15592.6,1.58453,1.17926,1.82186,0.91882,0.86737,0.93273,0.64451,1.20149,0.7345,1.61738,0.0005545,0.0005545,0.0005545
92,15756.9,1.57948,1.17813,1.81939,0.91244,0.87078,0.93136,0.64282,1.20416,0.73825,1.62516,0.00054955,0.00054955,0.00054955
93,15922,1.561,1.18581,1.82208,0.91187,0.8698,0.93307,0.64554,1.19577,0.73008,1.61671,0.0005446,0.0005446,0.0005446
94,16087.4,1.56136,1.16761,1.81227,0.91119,0.8767,0.93498,0.64186,1.2084,0.735,1.62135,0.00053965,0.00053965,0.00053965
95,16254.6,1.57372,1.17608,1.80771,0.9127,0.86445,0.93491,0.64111,1.20723,0.73256,1.61523,0.0005347,0.0005347,0.0005347
96,16421.7,1.56834,1.1705,1.81207,0.90027,0.87768,0.93526,0.64169,1.20615,0.73932,1.62561,0.00052975,0.00052975,0.00052975
97,16584.8,1.56255,1.17043,1.80799,0.90332,0.87753,0.9354,0.64891,1.19388,0.7325,1.61346,0.0005248,0.0005248,0.0005248
98,16745.2,1.55329,1.15487,1.79481,0.91442,0.87255,0.93637,0.65143,1.18437,0.72772,1.60195,0.00051985,0.00051985,0.00051985
99,16907.2,1.56532,1.17089,1.80915,0.90356,0.88056,0.93607,0.65347,1.18379,0.71937,1.59655,0.0005149,0.0005149,0.0005149
100,17078.4,1.56232,1.16155,1.80392,0.90371,0.87743,0.93541,0.65641,1.18179,0.71951,1.59129,0.00050995,0.00050995,0.00050995
101,17246.9,1.56134,1.16542,1.80588,0.90678,0.87411,0.93453,0.65527,1.17536,0.72293,1.58973,0.000505,0.000505,0.000505
102,17411.5,1.53128,1.13322,1.7874,0.91153,0.87866,0.93548,0.65568,1.1721,0.71795,1.58508,0.00050005,0.00050005,0.00050005
103,17576.1,1.55489,1.14657,1.79782,0.91481,0.87404,0.93682,0.65866,1.17306,0.71378,1.58413,0.0004951,0.0004951,0.0004951
104,17735.8,1.54973,1.14488,1.79881,0.91622,0.87549,0.93659,0.66057,1.17343,0.70499,1.58505,0.00049015,0.00049015,0.00049015
105,17896.2,1.54598,1.13701,1.79554,0.92087,0.87469,0.93818,0.66352,1.16494,0.70351,1.5804,0.0004852,0.0004852,0.0004852
106,18056.7,1.54778,1.13807,1.78013,0.91805,0.8818,0.93931,0.65947,1.17141,0.70579,1.58266,0.00048025,0.00048025,0.00048025
107,18221.2,1.52972,1.13208,1.78127,0.91922,0.87967,0.93805,0.65901,1.1686,0.70528,1.57576,0.0004753,0.0004753,0.0004753
108,18385.8,1.53876,1.13598,1.79067,0.92219,0.87129,0.93553,0.65883,1.16524,0.70513,1.5712,0.00047035,0.00047035,0.00047035
109,18554.9,1.53782,1.13827,1.7845,0.93237,0.86996,0.93681,0.66142,1.15504,0.70338,1.56806,0.0004654,0.0004654,0.0004654
110,18717.4,1.53095,1.12823,1.77052,0.92157,0.87409,0.93715,0.66202,1.1548,0.7032,1.56837,0.00046045,0.00046045,0.00046045
111,18885.4,1.51847,1.11997,1.76465,0.9117,0.88224,0.93775,0.66657,1.15176,0.69963,1.56557,0.0004555,0.0004555,0.0004555
112,19052.9,1.52344,1.13333,1.78199,0.91249,0.88109,0.93778,0.66067,1.15601,0.6976,1.57057,0.00045055,0.00045055,0.00045055
113,19215.2,1.51328,1.12055,1.77268,0.92211,0.87288,0.93878,0.65733,1.16471,0.70246,1.57421,0.0004456,0.0004456,0.0004456
114,19378.8,1.52201,1.11727,1.76246,0.9301,0.86908,0.93878,0.66245,1.1589,0.69966,1.57213,0.00044065,0.00044065,0.00044065
115,19540.4,1.52218,1.11874,1.76903,0.91744,0.872,0.93825,0.66391,1.15454,0.69573,1.56921,0.0004357,0.0004357,0.0004357
116,19699.1,1.53939,1.13394,1.7796,0.91536,0.883,0.93893,0.66432,1.15203,0.69409,1.56731,0.00043075,0.00043075,0.00043075
117,19860,1.51736,1.11423,1.76773,0.92036,0.87961,0.9395,0.66524,1.14971,0.69486,1.56454,0.0004258,0.0004258,0.0004258
118,20024.5,1.50508,1.10899,1.75819,0.91678,0.8855,0.93906,0.66609,1.14538,0.69363,1.56313,0.00042085,0.00042085,0.00042085
119,20187.5,1.51876,1.11413,1.76444,0.92535,0.8757,0.93935,0.66728,1.14375,0.69378,1.56238,0.0004159,0.0004159,0.0004159
120,20343.7,1.50941,1.10038,1.75086,0.92185,0.8854,0.94067,0.66824,1.14226,0.68808,1.56313,0.00041095,0.00041095,0.00041095
121,20511.6,1.52178,1.11709,1.76925,0.91677,0.88874,0.9414,0.66913,1.13971,0.68304,1.56195,0.000406,0.000406,0.000406
122,20679.6,1.52861,1.11993,1.76905,0.91363,0.8892,0.94282,0.67118,1.1395,0.68338,1.55948,0.00040105,0.00040105,0.00040105
123,20848.2,1.50126,1.09725,1.7558,0.9101,0.89104,0.94271,0.66979,1.14226,0.68385,1.56105,0.0003961,0.0003961,0.0003961
124,21016.5,1.50879,1.09828,1.75207,0.91294,0.88783,0.94323,0.67098,1.14126,0.68373,1.55853,0.00039115,0.00039115,0.00039115
125,21180.2,1.48855,1.09531,1.74917,0.91039,0.89408,0.94415,0.67177,1.13691,0.68476,1.55585,0.0003862,0.0003862,0.0003862
126,21346.3,1.48377,1.09129,1.74634,0.91591,0.89034,0.944,0.67117,1.13666,0.68381,1.55486,0.00038125,0.00038125,0.00038125
127,21509.2,1.48243,1.09191,1.74277,0.91763,0.88961,0.94443,0.67006,1.14177,0.68582,1.55838,0.0003763,0.0003763,0.0003763
